countryname,year,gini
Chile,1982,54.533333
Japan,1982,69.900009
Finland,1983,21.500002
Sweden,1983,22.966667
Belgium,1983,24.866667
Norway,1983,25.585714
Denmark,1983,27.400002
Netherlands,1983,28.4
Italy,1983,29.799999
United Kingdom,1983,29.799999
Australia,1983,31.9
Germany,1983,32.699997
Canada,1983,33.200001
France,1983,33.52
Spain,1983,34.440002
Ireland,1983,34.700001
Switzerland,1983,35.790001
Israel,1983,36.414284
Portugal,1983,36.799953
United States,1983,37.299999
Austria,1983,40.699997
Greece,1983,43.719997
Chile,1983,54.866669
Japan,1983,68.550011
Finland,1984,21.675001
Sweden,1984,23
Belgium,1984,25.033335
Norway,1984,25.257143
Denmark,1984,27.1
Netherlands,1984,28
United Kingdom,1984,29.200001
Italy,1984,31.299999
Australia,1984,32.200001
Germany,1984,32.299995
France,1984,33.400002
Canada,1984,33.5
Spain,1984,34.420002
Ireland,1984,34.899998
Switzerland,1984,35.580002
Israel,1984,36.442856
Portugal,1984,36.899956
United States,1984,37.299999
Austria,1984,39.799995
Greece,1984,43.16
Chile,1984,55.200001
Japan,1984,67.200012
Finland,1985,21.850002
Sweden,1985,23.033333
Norway,1985,24.928572
Belgium,1985,25.200001
Denmark,1985,26.800001
Netherlands,1985,27.599998
United Kingdom,1985,30.4
Italy,1985,31.25
Germany,1985,31.899998
Australia,1985,32.5
France,1985,33.183334
Canada,1985,33.200001
Spain,1985,34.400002
Ireland,1985,35.099998
Switzerland,1985,35.369999
Israel,1985,36.471428
Portugal,1985,36.999958
United States,1985,37.599998
Austria,1985,38.899994
Greece,1985,42.599998
Chile,1985,55.533333
Japan,1985,65.850006
Finland,1986,22.025002
Sweden,1986,23.066668
Norway,1986,24.6
Belgium,1986,25.366667
Denmark,1986,26.5
Netherlands,1986,27.199999
Italy,1986,31.200001
Germany,1986,31.499998
Canada,1986,31.700001
United Kingdom,1986,31.9
Australia,1986,32.674999
France,1986,32.966667
Spain,1986,33.920002
Switzerland,1986,35.16
Ireland,1986,35.299999
Israel,1986,36.5
Portugal,1986,37.09996
United States,1986,37.599998
Austria,1986,37.999996
Greece,1986,42.039997
Chile,1986,55.866669
Japan,1986,64.500008
Finland,1987,22.200001
Sweden,1987,23.1
Norway,1987,24.720001
Belgium,1987,25.533335
Denmark,1987,26.200001
Netherlands,1987,26.799999
Germany,1987,31.099998
Canada,1987,31.700001
France,1987,32.75
Australia,1987,32.849998
Spain,1987,33.440002
United Kingdom,1987,33.900002
Italy,1987,34.200001
Switzerland,1987,34.950001
Ireland,1987,35.5
Israel,1987,36.333332
Austria,1987,37.099998
Portugal,1987,37.199963
United States,1987,37.200001
Greece,1987,41.48
Chile,1987,56.200001
Japan,1987,63.150009
Finland,1988,22.375
Sweden,1988,23.460001
Norway,1988,24.84
Belgium,1988,25.700001
Denmark,1988,25.900002
Netherlands,1988,28.233334
Germany,1988,30.699999
Canada,1988,31.200001
France,1988,32.533333
Spain,1988,32.959999
Australia,1988,33.025002
Italy,1988,33.150002
United Kingdom,1988,34.299999
Switzerland,1988,34.740002
Ireland,1988,35.700001
Israel,1988,36.166668
Austria,1988,36.199997
Portugal,1988,37.299965
United States,1988,37.700001
Greece,1988,40.919998
Chile,1988,56.533333
Japan,1988,61.800007
Finland,1989,22.549999
Sweden,1989,23.82
Norway,1989,24.960001
Belgium,1989,25.5
Denmark,1989,25.6
Netherlands,1989,29.666666
Germany,1989,30.299999
Canada,1989,31
Italy,1989,32.099998
France,1989,32.316666
Spain,1989,32.48
Australia,1989,33.200001
United Kingdom,1989,33.400002
Switzerland,1989,34.530003
Austria,1989,35.299995
Ireland,1989,35.900002
Israel,1989,36
Portugal,1989,37.399967
United States,1989,38.200001
Greece,1989,40.360001
Chile,1989,56.866669
Japan,1989,60.450005
Finland,1990,22.725
Sweden,1990,24.18
Norway,1990,25.08
Belgium,1990,25.299999
Denmark,1990,25.300001
Germany,1990,29.9
Netherlands,1990,31.1
Canada,1990,31.4
Italy,1990,31.549999
Spain,1990,32
France,1990,32.099998
Australia,1990,33.099998
Switzerland,1990,34.32
Austria,1990,34.399998
United Kingdom,1990,35.700001
Israel,1990,35.833332
Ireland,1990,36.100002
Portugal,1990,37.499969
United States,1990,38.299999
Greece,1990,39.799999
Chile,1990,57.200001
Japan,1990,59.100006
Finland,1991,22.9
Sweden,1991,24.539999
Denmark,1991,25
Belgium,1991,25.1
Norway,1991,25.200001
Germany,1991,29.5
Netherlands,1991,30.866667
Italy,1991,31
Canada,1991,31.9
France,1991,32.083332
Australia,1991,33
Spain,1991,33.233334
Austria,1991,33.5
Switzerland,1991,34.110001
United Kingdom,1991,35
Israel,1991,35.666668
Ireland,1991,36.299999
Portugal,1991,37.599972
United States,1991,38
Greece,1991,39.239998
Chile,1991,56
Japan,1991,57.750008
Finland,1992,23.049999
Denmark,1992,24.700001
Sweden,1992,24.9
Belgium,1992,24.9
Norway,1992,25.400002
Germany,1992,29.1
Netherlands,1992,30.633333
Canada,1992,31.6
France,1992,32.066666
Austria,1992,32.599998
Australia,1992,32.900002
Italy,1992,33.049999
Switzerland,1992,33.900002
Spain,1992,34.466667
United Kingdom,1992,35
Israel,1992,35.5
Ireland,1992,36.5
Portugal,1992,37.699974
United States,1992,38.400002
Greece,1992,38.68
Chile,1992,54.799999
Japan,1992,56.400005
Finland,1993,23.200001
Denmark,1993,24.133333
Sweden,1993,25
Norway,1993,25.6
Belgium,1993,26.066666
Germany,1993,28.6
Netherlands,1993,30.4
Austria,1993,31.699999
Canada,1993,31.700001
France,1993,32.049999
Australia,1993,32.799999
Switzerland,1993,33.837502
Italy,1993,35.099998
United Kingdom,1993,35.099998
Spain,1993,35.700001
Israel,1993,36.02
Ireland,1993,36.700001
Portugal,1993,37.799976
Greece,1993,38.119999
United States,1993,40.400002
Japan,1993,55.050003
Chile,1993,55.599998
Finland,1994,23.35
Denmark,1994,23.566668
Sweden,1994,25.1
Norway,1994,25.799999
Belgium,1994,27.233334
Germany,1994,29.200001
Netherlands,1994,30.016666
Austria,1994,30.799999
Canada,1994,31.299999
France,1994,32.033333
Australia,1994,32.699997
Switzerland,1994,33.775002
Spain,1994,35.099998
Italy,1994,35.150002
United Kingdom,1994,36
Israel,1994,36.540001
Ireland,1994,36.900002
Greece,1994,37.560001
Portugal,1994,37.899979
United States,1994,40
Japan,1994,53.700005
Chile,1994,56.400002
Denmark,1995,23
Finland,1995,23.5
Sweden,1995,25.200001
Norway,1995,26
Belgium,1995,28.4
Germany,1995,28.799999
Netherlands,1995,29.633333
Austria,1995,29.9
Canada,1995,31.5
France,1995,32.016666
Australia,1995,32.599998
Switzerland,1995,33.712502
Italy,1995,35.200001
United Kingdom,1995,35.5
Spain,1995,35.700001
Ireland,1995,37
Greece,1995,37
Israel,1995,37.059998
Portugal,1995,37.999981
United States,1995,39.900002
Japan,1995,52.350006
Chile,1995,55.650002
Denmark,1996,23.16
Finland,1996,24.24
Sweden,1996,25.560001
Norway,1996,26.280001
Belgium,1996,27.599998
Germany,1996,28
Netherlands,1996,29.25
Austria,1996,29.299999
France,1996,32
Australia,1996,32.75
Canada,1996,32.799999
Switzerland,1996,33.650002
United Kingdom,1996,35.299999
Ireland,1996,35.599998
Italy,1996,35.700001
Greece,1996,36.439999
Spain,1996,36.5
Israel,1996,37.579998
Portugal,1996,38.099983
United States,1996,40.299999
Japan,1996,51.000004
Chile,1996,54.900002
Denmark,1997,23.32
Finland,1997,24.98
Sweden,1997,25.92
Norway,1997,26.559999
Belgium,1997,26.799999
Germany,1997,28.200001
Netherlands,1997,28.866667
Austria,1997,29.1
France,1997,31.9
Australia,1997,32.899998
Canada,1997,33.099998
Switzerland,1997,33.587502
Ireland,1997,34.949997
Spain,1997,35.299999
United Kingdom,1997,35.700001
Greece,1997,35.880001
Italy,1997,36.200001
Israel,1997,38.099998
Portugal,1997,38.199986
United States,1997,40.5
Japan,1997,49.650002
Chile,1997,55.200001
Denmark,1998,23.48
Finland,1998,25.720001
Sweden,1998,26.280001
Norway,1998,26.84
Germany,1998,28.299999
Netherlands,1998,28.483334
Belgium,1998,28.9
Austria,1998,31.299999
France,1998,31.700001
Australia,1998,33.049999
Canada,1998,33.200001
Switzerland,1998,33.525002
Ireland,1998,34.299999
Spain,1998,34.599998
Greece,1998,35.32
United Kingdom,1998,36.599998
Italy,1998,36.700001
Portugal,1998,38.299988
Israel,1998,38.299999
United States,1998,40
Japan,1998,48.300003
Chile,1998,55.5
Denmark,1999,23.639999
Finland,1999,26.460001
Sweden,1999,26.639999
Norway,1999,27.119999
Netherlands,1999,28.1
Germany,1999,29
Austria,1999,29.700001
Belgium,1999,30.999998
France,1999,32.5
Canada,1999,33.099998
Australia,1999,33.200001
Switzerland,1999,33.462502
Ireland,1999,33.650002
Spain,1999,33.799999
Greece,1999,34.760002
Italy,1999,35.950001
United Kingdom,1999,36.799999
Portugal,1999,38.39999
Israel,1999,38.5
United States,1999,40
Japan,1999,46.950005
Chile,1999,54.150002
Denmark,2000,23.799999
Sweden,2000,27
Finland,2000,27.200001
Norway,2000,27.4
Netherlands,2000,28.440001
Germany,2000,28.9
Austria,2000,29
France,2000,32.599998
Ireland,2000,33
Belgium,2000,33.099998
Australia,2000,33.349998
Switzerland,2000,33.400002
Canada,2000,33.400002
Spain,2000,34.099998
Greece,2000,34.200001
Italy,2000,35.200001
Portugal,2000,38.499992
Israel,2000,38.700001
United Kingdom,2000,38.799999
United States,2000,40.099998
Japan,2000,45.600002
Chile,2000,52.799999
Denmark,2001,24.4
Sweden,2001,26.5
Finland,2001,27.366667
Norway,2001,27.466667
Netherlands,2001,28.780001
Austria,2001,29.166666
Germany,2001,29.9
Belgium,2001,31.433332
France,2001,32.5
Switzerland,2001,32.550003
Ireland,2001,32.650002
Spain,2001,33.333332
Australia,2001,33.5
Canada,2001,33.599998
Greece,2001,33.733334
Italy,2001,34.950001
United Kingdom,2001,37.099998
Portugal,2001,38.599995
Israel,2001,38.900002
United States,2001,40.599998
Japan,2001,44.25
Chile,2001,52.366665
Denmark,2002,25
Sweden,2002,26.200001
Norway,2002,27.533333
Finland,2002,27.533335
Netherlands,2002,29.119999
Austria,2002,29.333334
Belgium,2002,29.766666
Germany,2002,29.799999
Switzerland,2002,31.700001
France,2002,31.799999
Ireland,2002,32.299999
Spain,2002,32.566666
Greece,2002,33.266666
Australia,2002,33.5
Canada,2002,33.599998
Italy,2002,34.700001
United Kingdom,2002,35.099998
Portugal,2002,38.699997
Israel,2002,39.599998
United States,2002,40.400002
Japan,2002,42.900002
Chile,2002,51.933334
Sweden,2003,25.299999
Denmark,2003,25.6
Norway,2003,27.6
Finland,2003,27.700001
Belgium,2003,28.1
Netherlands,2003,29.459999
Austria,2003,29.5
Germany,2003,29.799999
France,2003,31.4
Switzerland,2003,31.650002
Spain,2003,31.799999
Greece,2003,32.799999
Ireland,2003,32.900002
Australia,2003,33.5
Canada,2003,33.799999
Italy,2003,34.900002
United Kingdom,2003,34.900002
Portugal,2003,38.799999
Israel,2003,40.700001
United States,2003,40.799999
Japan,2003,41.550003
Chile,2003,51.5
Denmark,2004,24.9
Sweden,2004,26.1
Finland,2004,27.9
Netherlands,2004,29.799999
Austria,2004,29.799999
Germany,2004,30.200001
Belgium,2004,30.5
France,2004,30.6
Switzerland,2004,31.6
Norway,2004,31.6
Australia,2004,33.099998
Spain,2004,33.299999
Greece,2004,33.599998
Ireland,2004,33.599998
Canada,2004,33.799999
Italy,2004,34.299999
United Kingdom,2004,34.799999
Portugal,2004,38.900002
Japan,2004,40.200001
United States,2004,40.299999
Israel,2004,41.5
Chile,2004,50.233334
Denmark,2005,25.200001
Sweden,2005,26.799999
Finland,2005,27.6
Austria,2005,28.700001
Netherlands,2005,29
Belgium,2005,29.299999
France,2005,29.799999
Norway,2005,30.6
Germany,2005,31.700001
Spain,2005,32.400002
Switzerland,2005,32.75
Canada,2005,33.599998
Australia,2005,33.674999
Italy,2005,33.799999
Ireland,2005,33.799999
Greece,2005,34.599998
United Kingdom,2005,35.5
Portugal,2005,38.5
Japan,2005,38.849998
United States,2005,41
Israel,2005,42.299999
Chile,2005,48.966667
Denmark,2006,25.9
Sweden,2006,26.4
Norway,2006,26.4
Finland,2006,28
Belgium,2006,28.1
Austria,2006,29.6
France,2006,29.700001
Netherlands,2006,30
Germany,2006,31
Ireland,2006,32.700001
Spain,2006,33.5
Italy,2006,33.700001
Switzerland,2006,33.900002
Canada,2006,34.099998
Australia,2006,34.25
Greece,2006,35.099998
United Kingdom,2006,35.900002
Japan,2006,37.5
Portugal,2006,38.099998
United States,2006,41.400002
Israel,2006,41.599998
Chile,2006,47.700001
Denmark,2007,26.200001
Norway,2007,27.1
Sweden,2007,27.1
Finland,2007,28.299999
Belgium,2007,29.200001
Netherlands,2007,29.6
Austria,2007,30.6
Germany,2007,31.200001
Ireland,2007,31.9
France,2007,32.400002
Italy,2007,32.900002
Canada,2007,33.799999
Greece,2007,34
Spain,2007,34.099998
Switzerland,2007,34.299999
United Kingdom,2007,34.400002
Australia,2007,34.825001
Japan,2007,36.150002
Portugal,2007,36.799999
United States,2007,40.799999
Israel,2007,41.099998
Chile,2007,47.600002
Denmark,2008,25.200001
Norway,2008,27
Finland,2008,27.799999
Sweden,2008,28.1
Belgium,2008,28.4
Netherlands,2008,29.299999
Austria,2008,30.4
Germany,2008,30.799999
Ireland,2008,30.9
France,2008,33
Greece,2008,33.599998
Italy,2008,33.799999
Switzerland,2008,33.799999
Canada,2008,33.900002
Spain,2008,34.200001
Japan,2008,34.799999
Australia,2008,35.400002
United Kingdom,2008,35.400002
Portugal,2008,36.599998
United States,2008,40.799999
Israel,2008,41.599998
Chile,2008,47.5
Norway,2009,26.200001
Denmark,2009,26.700001
Sweden,2009,27.299999
Finland,2009,27.5
Netherlands,2009,27.9
Belgium,2009,28.6
Germany,2009,30.5
Austria,2009,31.5
France,2009,32.700001
Ireland,2009,32.700001
Switzerland,2009,32.900002
Japan,2009,33.449997
Greece,2009,33.599998
Italy,2009,33.799999
Canada,2009,34
Spain,2009,34.900002
Portugal,2009,34.900002
Australia,2009,35.050003
United Kingdom,2009,35.099998
United States,2009,40.599998
Israel,2009,42.599998
Chile,2009,47.400002
Norway,2010,25.700001
Denmark,2010,27.200001
Sweden,2010,27.700001
Finland,2010,27.700001
Netherlands,2010,27.799999
Belgium,2010,28.4
Germany,2010,30.200001
Austria,2010,30.299999
Japan,2010,32.099998
Ireland,2010,32.299999
Switzerland,2010,32.599998
Canada,2010,33.599998
United Kingdom,2010,33.700001
France,2010,33.700001
Greece,2010,34.099998
Italy,2010,34.700001
Australia,2010,34.700001
Spain,2010,35.200001
Portugal,2010,35.799999
United States,2010,40
Israel,2010,42.599998
Chile,2010,47.300003
